Index	Name	Author	FileName	Tags	Dependencies	URL
81	WhoIsMarcus	valmanexus	WhoIsMarcus_89e3ec43-fffe-4e42-a600-d4be4d04a6bb.pak			https://www.nexusmods.com/baldursgate3/mods/18943
82	Zethino Love Test Buff Fix	Magnetuning	MGNTN_LoveTestBuffFix_5f593a3f-0374-42d8-a5c6-e07e3ae36f07.pak			https://www.nexusmods.com/baldursgate3/mods/19530
83	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  29 ⋆ World Content ⋆ Tutorial Chest Mover  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_World_TutorialChestMover_43fd2f73-3c32-4e70-a30d-30c2965a57e2.pak			
84	SpawnTutorialChest	Syrchalis	SpawnTutorialChest_210daf61-48c2-4b4b-a1e0-5a2e022a8106.pak			https://www.nexusmods.com/baldursgate3/mods/4687
85	Tutorial Exit	SwissFred	tutorialexit_65244f13-7e0d-8e1-7vrs.pak		GustavDev, GustavX	
86	YieldToTemptation	Syrchalis	YieldToTemptation_60ac6eff-b503-492d-867f-4e7cacf7f57d.pak			
87	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  30 ⋆ World Content ⋆ Environment Changes  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_World_Environment_2a90956c-2248-4fe7-9c5c-ffccbed7a047.pak			
88	Act 1 Night Mode Patch 8 Compatible	CH	ACT1Nightmode_1263494e-babe-347b-0045-ac5a6f3041a3.pak		GustavDev, GustavX	https://www.nexusmods.com/baldursgate3/mods/23047
89	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  35 ⋆ Items & Equipment ⋆ Accessories  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_Items_Accessories_8cf4597f-8130-4e05-ac3f-be427754bd92.pak			
90	ContainersExtended	darkcharl	containersextended_c52c2d4d-2a-bn0o.pak		GustavDev, GustavX	https://www.nexusmods.com/baldursgate3/mods/7980
91	ContainersExtended - FR	Amnertaris	containersextendedfr_36efc1e7-0epe.pak		GustavDev	
92	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  45 ⋆ Skillset ⋆ Feats  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_Skillset_Feats_b1fc1411-4bf5-4723-b31d-6dc5f854f2f1.pak			
93	Essential_Feats	Syrchalis	Essential_Feats_ca3df55b-c576-41a1-87c4-3cf5f01922e4.pak			https://www.nexusmods.com/baldursgate3/mods/5623
94	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  58 ⋆ Class ⋆ Subclasses  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_Class_Subclass_ca23444f-9487-41ae-af87-40e38e4c1945.pak			
95	ChronurgyWizard	maradi	ChronurgyWizard_e517df16-a90c-49d7-b14d-5dff3b57c58a.pak			
96	ChronurgyWizard_SpellListPatch	maradi	ChronurgyWizard_SpellListPatch_b3f699b2-d007-4a1c-bc27-c0437017db58.pak			
97	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  59 ⋆ Class ⋆ Changes  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_Class_Changes_4f628a90-6dab-4aac-960e-7489061d09e3.pak			
98	diety_for_all		diety_for_all_e1dc385a-9acb-b6-aps4.pak		GustavDev	
99	[BS] Multiclass Casting Ability Fix	Bluesatin	BS-PreferredCastingAbilityFix_112e0acf-1655-40a1-845e-abe3a2a52604.pak			
